,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
34,Elf ,G,"Comedy; 
Family; 
Fantasy",7 November 2003,6.9,Jon Favreau,Will Ferrell;James Caan;Bob Newhart;Edward Asner;Mary Steenburgen;Zooey Deschanel;Daniel Tay;Faizon Love;Peter Dinklage;Amy Sedaris;Michael Lerner;Andy Richter;Kyle Gass;Artie Lange;Leon Redbone,33000000,97,47044933
35,Joker ,,"Crime; 
Drama; 
Thriller",4 October 2019,,Todd Phillips,Joaquin Phoenix;Robert De Niro;Zazie Beetz;Shea Whigham;Bryan Callen;Frances Conroy;Marc Maron;Bill Camp;Douglas Hodge;Glenn Fleshler;Brett Cullen;Jolie Chan;Josh Pais;Mary Kate Malat;Dante Pereira-Olson,55000000,,
36,A Star Is Born ,,"Drama; 
Music; 
Romance",5 October 2018,8.1,Bradley Cooper,Lady Gaga;Bradley Cooper;Sam Elliott;Andrew Dice Clay;Rafi Gavron;Anthony Ramos;Dave Chappelle;Alec Baldwin;Marlon Williams;Brandi Carlile;Ron Rifkin;Barry Shabaka Henley;Michael D. Roberts;Michael Harney;Rebecca Field,36000000,136,
37,The Ballad of Buster Scruggs ,R,"Comedy; 
Drama; 
Musical",9 November 2018,7.4,,Tim Blake Nelson;Willie Watson;Clancy Brown;Danny McCarthy;David Krumholtz;Thomas Wingate;Tim DeZarn;E.E. Bell;Alejandro Patiño;Tom Proctor;Clinton Roberts;Matthew Willig;Jesse Youngblood;J.J. Dashnaw;James Franco,,133,
38,How the Grinch Stole Christmas ,G,"Comedy; 
Family; 
Fantasy",17 November 2000,6.1,Ron Howard,Jim Carrey;Taylor Momsen;Kelley;Jeffrey Tambor;Christine Baranski;Bill Irwin;Molly Shannon;Clint Howard;Josh Ryan Evans;Mindy Sterling;Rachel Winfree;Rance Howard;Jeremy Howard;T.J. Thyne;Lacey Kohl,123000000,104,345141403
39,The Sound of Music ,G,,1 April 1965,8.0,Robert Wise,Julie Andrews;Christopher Plummer;Eleanor Parker;Richard Haydn;Peggy Wood;Charmian Carr;Heather Menzies-Urich;Nicholas Hammond;Duane Chase;Angela Cartwright;Debbie Turner;Kym Karath;Anna Lee;Portia Nelson;Ben Wright,8200000,172,286214286
40,Hunter Killer ,,"Action; 
Thriller",26 October 2018,6.8,Donovan Marsh,Ethan Baird;Jacob Scipio;Dempsey Bovell;Corey Johnson;Adam James;Common;Henry Goodman;Colin Stinton;Gary Oldman;Gerard Butler;Carter MacIntyre;Shane Taylor;Kola Bokinni;Mikey Collins;Will Attenborough,,122,
41,Robin Hood ,PG,"Action; 
Adventure; 
Thriller",21 November 2018,5.4,Otto Bathurst,Taron Egerton;Jamie Foxx;Ben Mendelsohn;Eve Hewson;Jamie Dornan;Tim Minchin;Paul Anderson;F. Murray Abraham;Ian Peck;Cornelius Booth;Kane Headley-Cummings;Scot Greenan;Lara Rossi;Kevin Griffiths;Catriona Temple,100000000,116,73228914
42,Mission: Impossible - Fallout ,PG,"Action; 
Adventure; 
Thriller",27 July 2018,7.9,Christopher McQuarrie,Tom Cruise;Henry Cavill;Ving Rhames;Simon Pegg;Rebecca Ferguson;Sean Harris;Angela Bassett;Vanessa Kirby;Michelle Monaghan;Wes Bentley;Frederick Schmidt;Alec Baldwin;Liang Yang;Kristoffer Joner;Wolf Blitzer,178000000,147,791107538
43,White Boy Rick ,,"Crime; 
Drama",14 September 2018,6.5,Yann Demange,Matthew McConaughey;Richie Merritt;Bel Powley;Jennifer Jason Leigh;Brian Tyree Henry;Rory Cochrane;RJ Cyler;Jonathan Majors;Eddie Marsan;Taylour Paige;Bruce Dern;Piper Laurie;Raekwon Haynes;Ishmael Ali;James Howard,29000000,111,
44,Once Upon a Time in Hollywood ,,"Comedy; 
Drama",26 July 2019,,Quentin Tarantino,Margot Robbie;Brad Pitt;Kurt Russell;Leonardo DiCaprio;Dakota Fanning;Al Pacino;Timothy Olyphant;Nicholas Hammond;Lorenza Izzo;Victoria Pedretti;Scoot McNairy;James Marsden;Austin Butler;Sydney Sweeney;James Remar,100000000,,
45,First Man ,PG,,12 October 2018,7.5,Damien Chazelle,Ryan Gosling;Claire Foy;Jason Clarke;Kyle Chandler;Corey Stoll;Patrick Fugit;Christopher Abbott;Ciarán Hinds;Olivia Hamilton;Pablo Schreiber;Shea Whigham;Lukas Haas;Ethan Embry;Brian d'Arcy James;Cory Michael Smith,60000000,141,
46,Deadpool 2 ,,"Action; 
Adventure; 
Comedy",18 May 2018,7.8,David Leitch,Ryan Reynolds;Josh Brolin;Morena Baccarin;Julian Dennison;Zazie Beetz;T.J. Miller;Leslie Uggams;Karan Soni;Brianna Hildebrand;Jack Kesy;Eddie Marsan;Shioli Kutsuna;Stefan Kapicic;Randal Reeder;Nikolai Witschl,110000000,119,741547413
47,Ready Player One ,PG,"Action; 
Adventure; 
Sci-Fi",29 March 2018,7.5,Steven Spielberg,Tye Sheridan;Olivia Cooke;Ben Mendelsohn;Lena Waithe;T.J. Miller;Simon Pegg;Mark Rylance;Philip Zhao;Win Morisaki;Hannah John-Kamen;Ralph Ineson;Susan Lynch;Clare Higgins;Laurence Spellman;Perdita Weeks,175000000,140,582890172
48,Captain Marvel ,,"Action; 
Adventure; 
Sci-Fi",8 March 2019,,,Brie Larson;Mckenna Grace;Gemma Chan;Samuel L. Jackson;Jude Law;Lee Pace;Ben Mendelsohn;Annette Bening;Djimon Hounsou;Rune Temte;Clark Gregg;Colin Ford;Chuku Modu;Robert Kazinsky;Kenneth Mitchell,,,
49,The Greatest Showman ,PG,,20 December 2017,7.7,Michael Gracey,Hugh Jackman;Michelle Williams;Zac Efron;Zendaya;Rebecca Ferguson;Austyn Johnson;Cameron Seely;Keala Settle;Sam Humphrey;Yahya Abdul-Mateen II;Eric Anderson;Ellis Rubin;Skylar Dunn;Daniel Everidge;Radu Spinghel,84000000,105,434950846
50,Peppermint ,,"Action; 
Drama; 
Thriller",7 September 2018,6.5,Pierre Morel,Jennifer Garner;John Gallagher Jr.;John Ortiz;Juan Pablo Raba;Annie Ilonzeh;Jeff Hephner;Cailey Fleming;Eddie Shin;Method Man;Tyson Ritter;Ian Casselberry;Richard Cabral;Johnny Ortiz;Michael Reventar;Kyla-Drew,25000000,101,
51,Smallfoot ,G,,28 September 2018,6.7,,Channing Tatum;James Corden;Zendaya;Common;LeBron James;Danny DeVito;Gina Rodriguez;Yara Shahidi;Ely Henry;Jimmy Tatro;Patricia Heaton;Justin Roiland;Jack Quaid;Sarah Baker;Kelly Holden Bashar,,96,
52,Crazy Rich Asians ,PG,"Comedy; 
Romance",15 August 2018,7.1,Jon M. Chu,Constance Wu;Henry Golding;Michelle Yeoh;Gemma Chan;Lisa Lu;Awkwafina;Harry Shum Jr.;Ken Jeong;Sonoya Mizuno;Chris Pang;Jimmy O. Yang;Ronny Chieng;Remy Hii;Nico Santos;Jing Lusi,30000000,120,219756957
53,Widows ,,"Crime; 
Drama; 
Thriller",16 November 2018,7.4,Steve McQueen,Viola Davis;Liam Neeson;Jon Bernthal;Manuel Garcia-Rulfo;Coburn Goss;Michelle Rodriguez;Alejandro Verdin;Bailey Rhyse Walters;Elizabeth Debicki;Carrie Coon;Robert Duvall;Colin Farrell;Molly Kunz;James Vincent Meredith;Brian Tyree Henry,42000000,129,
54,The Sisters Brothers ,,"Adventure; 
Comedy; 
Crime",19 September 2018,7.1,Jacques Audiard,John C. Reilly;Joaquin Phoenix;Jake Gyllenhaal;Riz Ahmed;Rebecca Root;Allison Tolman;Rutger Hauer;Carol Kane;Patrice Cossonneau;Zac Abbott;David Gasman;Philip Rosch;Creed Bratton;Lenuta Bala;Jochen Hägele,,121,
55,Sonic the Hedgehog ,,,8 November 2019,,Jeff Fowler,Jim Carrey;James Marsden;Ben Schwartz;Neal McDonough;Adam Pally;Tika Sumpter;Debs Howard;Leanne Lapp;Bailey Skodje;Melody Nosipho Niemann;Elfina Luk;Natasha Rothwell;Frank C. Turner;Lee Majdoub;Emma Oliver,90000000,,
56,Mary Poppins ,G,"Comedy; 
Family; 
Fantasy",3 December 1964,7.8,Robert Stevenson,Julie Andrews;Dick Van Dyke;David Tomlinson;Glynis Johns;Hermione Baddeley;Reta Shaw;Karen Dotrice;Matthew Garber;Elsa Lanchester;Arthur Treacher;Reginald Owen;Ed Wynn;Jane Darwell;Arthur Malet;James Logan,6000000,139,115272727
57,Justice League ,PG,"Action; 
Adventure; 
Fantasy",17 November 2017,6.5,Zack Snyder,Ben Affleck;Henry Cavill;Amy Adams;Gal Gadot;Ezra Miller;Jason Momoa;Ray Fisher;Jeremy Irons;Diane Lane;Connie Nielsen;J.K. Simmons;Ciarán Hinds;Amber Heard;Joe Morton;Lisa Loven Kongsli,300000000,120,614729668
58,Green Book ,PG,,21 November 2018,8.3,Peter Farrelly,Viggo Mortensen;Mahershala Ali;Linda Cardellini;Sebastian Maniscalco;Dimiter D. Marinov;Mike Hatton;P.J. Byrne;Joe Cortese;Maggie Nixon;Von Lewis;Jon Sortland;Don Stark;Anthony Mangano;Paul Sloan;Quinn Duffy,23000000,130,29277203
