,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
77,The Santa Clause ,G,"Comedy; 
Drama; 
Family",11 November 1994,6.4,John Pasquin,Tim Allen;Judge Reinhold;Wendy Crewson;Eric Lloyd;David Krumholtz;Larry Brandenburg;Mary Gross;Paige Tamada;Peter Boyle;Judith Scott;Jayne Eastwood;Melissa King;Bradley Wentworth;Azura Bates;Joshua Satok,22000000,97,189800000
78,Home Alone 2: Lost in New York ,G,"Adventure; 
Comedy; 
Family",20 November 1992,6.7,Chris Columbus,Macaulay Culkin;Joe Pesci;Daniel Stern;Catherine O'Hara;John Heard;Devin Ratray;Hillary Wolf;Maureen Elisabeth Shay;Michael C. Maronna;Gerry Bamman;Terrie Snell;Jedidiah Cohen;Senta Moses Mikan;Diana Rein;Kieran Culkin,18000000,120,358991681
79,BlacKkKlansman ,,,10 August 2018,7.6,Spike Lee,Alec Baldwin;John David Washington;Isiah Whitlock Jr.;Robert John Burke;Brian Tarantina;Arthur J. Nascarella;Ken Garito;Frederick Weller;Adam Driver;Michael Buscemi;Laura Harrier;Damaris Lewis;Ato Blankson-Wood;Corey Hawkins;Dared Wright,15000000,135,25592685
80,Incredibles 2 ,PG,,15 June 2018,7.8,Brad Bird,Craig T. Nelson;Holly Hunter;Sarah Vowell;Huck Milner;Catherine Keener;Eli Fucile;Bob Odenkirk;Samuel L. Jackson;Michael Bird;Sophia Bush;Brad Bird;Phil LaMarr;Isabella Rossellini;Adam Gates;Jonathan Banks,200000000,118,1121290260
81,Black Panther ,PG,"Action; 
Adventure; 
Sci-Fi",16 February 2018,7.4,Ryan Coogler,Chadwick Boseman;Michael B. Jordan;Lupita Nyong'o;Danai Gurira;Martin Freeman;Daniel Kaluuya;Letitia Wright;Winston Duke;Sterling K. Brown;Angela Bassett;Forest Whitaker;Andy Serkis;Florence Kasumba;John Kani;David S. Lee,200000000,134,1347071259
82,Zimna wojna ,,"Drama; 
Music; 
Romance",8 June 2018,7.8,Pawel Pawlikowski,Joanna Kulig;Tomasz Kot;Borys Szyc;Agata Kulesza;Cédric Kahn;Jeanne Balibar;Adam Woronowicz;Adam Ferency;Drazen Sivak;Slavko Sobin;Aloïse Sauvage;Adam Szyszkowski;Anna Zagórska;Tomasz Markiewicz;Izabela Andrzejak,,88,
83,Doragon bôru chô: Burorî - Dragon Ball Super: Broly ,PG,,14 December 2018,9.3,Tatsuya Nagamine,Sean Schemmel;Christopher Sabat;Vic Mignogna;Chris Ayres;Sonny Strait;Emily Neves;Monica Rial;Kara Edwards;Alexis Tipton;Jason Douglas;Ian Sinclair;Dameon Clarke;Erica Lindbeck;Bruce Carey;Sonny Franks,,100,
84,The Shape of Water ,,"Adventure; 
Drama; 
Fantasy",8 December 2017,7.4,Guillermo del Toro,Sally Hawkins;Michael Shannon;Richard Jenkins;Octavia Spencer;Michael Stuhlbarg;Doug Jones;David Hewlett;Nick Searcy;Stewart Arnott;Nigel Bennett;Lauren Lee Smith;Martin Roach;Allegra Fulton;John Kapelos;Morgan Kelly,19400000,123,194349972
85,A Quiet Place ,,"Drama; 
Horror; 
Mystery",6 April 2018,7.6,John Krasinski,Emily Blunt;John Krasinski;Millicent Simmonds;Noah Jupe;Cade Woodward;Leon Russom,17000000,90,332583447
86,The Little Mermaid ,PG,"Adventure; 
Drama; 
Fantasy",17 August 2018,4.2,,William Moseley;Poppy Drayton;Loreto Peralta;Armando Gutierrez;Shirley MacLaine;Gina Gershon;Shanna Collins;Chris Yong;Jo Marie Payton;Tom Nowicki;Lexy Kolker;Claire Ryann;Jared Sandler;Hunter Gomez;Antares Davis,,85,
