,babynysiis,perc_female,perc_male,gender
2715,FAJ,50.0,50.0,N
2716,CANAY,100.0,0.0,F
2717,JYJAN,0.0,100.0,M
2718,PRATAV,0.0,100.0,M
2719,LANBAR,100.0,0.0,F
2720,CANSAL,62.5,37.5,F
2721,IASAF,0.0,100.0,M
2722,STANSAN,0.0,100.0,M
2723,FRAGAR,0.0,100.0,M
2724,DARNAN,0.0,100.0,M
2725,YANATH,100.0,0.0,F
2726,AWAN,0.0,100.0,M
2727,CALABAR,33.33,66.67,M
2728,LALYAN,100.0,0.0,F
2729,IXYAN,100.0,0.0,F
2730,RAJV,100.0,0.0,F
2731,BANSR,100.0,0.0,F
2732,SALBASTR,0.0,100.0,M
2733,FLARANS,0.0,100.0,M
2734,CANGSALANAN,0.0,100.0,M
2735,OACLAN,33.33,66.67,M
2736,GYTAL,100.0,0.0,F
2737,CALYL,50.0,50.0,N
2738,CLYDAN,0.0,100.0,M
2739,CANARALY,100.0,0.0,F
2740,ELD,33.33,66.67,M
2741,ZANYL,100.0,0.0,F
2742,ZARAD,50.0,50.0,N
2743,ARNY,66.67,33.33,F
2744,JASANTAN,0.0,100.0,M
2745,ESNADAR,0.0,100.0,M
2746,ZATAVAN,0.0,100.0,M
2747,ONAS,81.82,18.180000000000007,F
2748,WASTLAGH,0.0,100.0,M
2749,WANDARL,0.0,100.0,M
2750,CSASL,50.0,50.0,N
2751,CH,100.0,0.0,F
2752,RACHNAL,0.0,100.0,M
2753,MACALGABRAL,0.0,100.0,M
2754,CWANT,0.0,100.0,M
2755,VANDR,75.0,25.0,F
2756,DAVADJR,0.0,100.0,M
2757,WLADASL,50.0,50.0,N
2758,CAJ,78.57,21.430000000000007,F
2759,BRANSLY,100.0,0.0,F
2760,SACH,33.33,66.67,M
2761,JANAB,100.0,0.0,F
2762,CANTAL,85.71,14.290000000000004,F
2763,LACAR,85.71,14.290000000000004,F
2764,ZANAD,75.0,25.0,F
2765,NAG,60.0,40.0,F
2766,MALAFACAD,100.0,0.0,F
2767,YASNAL,33.33,66.67,M
2768,SWAPN,100.0,0.0,F
2769,OLAD,75.0,25.0,F
2770,NARNALY,100.0,0.0,F
2771,CARLAND,100.0,0.0,F
2772,CYSY,83.33,16.67,F
2773,YAJAD,100.0,0.0,F
2774,CATNY,100.0,0.0,F
2775,JAVANC,50.0,50.0,N
2776,HACTAR,33.33,66.67,M
2777,ANARACACW,100.0,0.0,F
2778,ADANALY,100.0,0.0,F
2779,WALJ,0.0,100.0,M
2780,CANATY,100.0,0.0,F
2781,BLYTAN,0.0,100.0,M
2782,AGAP,50.0,50.0,N
2783,TYN,62.5,37.5,F
2784,BALVARLY,100.0,0.0,F
2785,APRAC,100.0,0.0,F
2786,HAVANAR,100.0,0.0,F
2787,EARNAN,0.0,100.0,M
2788,MANAF,66.67,33.33,F
2789,FRADAS,100.0,0.0,F
2790,DANALAL,50.0,50.0,N
2791,TRALAN,40.0,60.0,M
2792,LADYNAN,0.0,100.0,M
2793,NACTAR,0.0,100.0,M
2794,LARC,50.0,50.0,N
2795,HAPY,66.67,33.33,F
2796,BRADBARY,0.0,100.0,M
2797,ESNARAD,100.0,0.0,F
2798,MANDRAL,0.0,100.0,M
2799,MADASAN,88.57,11.430000000000007,F
2800,JAFAR,0.0,100.0,M
2801,CLASAL,0.0,100.0,M
2802,RANDAS,100.0,0.0,F
2803,SANTANAG,100.0,0.0,F
2804,MAV,83.33,16.67,F
2805,BAJAL,100.0,0.0,F
2806,SRAT,100.0,0.0,F
2807,DACARY,0.0,100.0,M
2808,VACS,100.0,0.0,F
2809,CRASANT,50.0,50.0,N
2810,HARPRAT,50.0,50.0,N
2811,JAFANT,0.0,100.0,M
2812,HARJAP,50.0,50.0,N
2813,ILY,69.23,30.77,F
2814,ORL,40.0,60.0,M
2815,DABL,0.0,100.0,M
2816,WAJAN,0.0,100.0,M
2817,FAF,50.0,50.0,N
2818,STAV,25.0,75.0,M
2819,TALVAN,0.0,100.0,M
2820,JANRASAL,0.0,100.0,M
2821,STALY,60.0,40.0,F
2822,NAJN,75.0,25.0,F
2823,TATRAN,100.0,0.0,F
2824,TADFAD,0.0,100.0,M
2825,BRYAR,50.0,50.0,N
2826,BRASTAN,30.0,70.0,M
2827,CARCAL,0.0,100.0,M
2828,EVANANG,100.0,0.0,F
2829,AHNAJ,0.0,100.0,M
2830,MYNAT,100.0,0.0,F
2831,SAGY,50.0,50.0,N
2832,SANARPRAT,50.0,50.0,N
2833,DYS,100.0,0.0,F
2834,SANFANY,100.0,0.0,F
2835,DADRAC,18.18,81.82,M
2836,RAGALN,0.0,100.0,M
2837,QAYVAN,0.0,100.0,M
2838,WARTANGTAN,0.0,100.0,M
2839,FALBART,0.0,100.0,M
2840,ASALAG,100.0,0.0,F
2841,PATRACAJ,100.0,0.0,F
2842,ITATY,100.0,0.0,F
2843,DANSAN,0.0,100.0,M
2844,JASANANAL,0.0,100.0,M
2845,RASATH,0.0,100.0,M
2846,ANGLY,100.0,0.0,F
2847,GANARCAND,0.0,100.0,M
2848,LADVAC,0.0,100.0,M
2849,ZANAV,100.0,0.0,F
2850,ANDRY,52.94,47.06,F
2851,DALSAR,100.0,0.0,F
2852,CAGNY,50.0,50.0,N
2853,OBRAD,0.0,100.0,M
2854,YANTY,100.0,0.0,F
2855,ELNATAN,0.0,100.0,M
2856,RASANC,0.0,100.0,M
2857,TARAN,48.8,51.2,M
2858,HARLAGH,100.0,0.0,F
2859,YASAD,50.0,50.0,N
2860,TALV,0.0,100.0,M
2861,PARNY,100.0,0.0,F
2862,JARGAS,0.0,100.0,M
2863,CHLAJAN,100.0,0.0,F
2864,ABNAL,0.0,100.0,M
2865,OSARATAN,0.0,100.0,M
2866,RABLY,0.0,100.0,M
2867,DALR,100.0,0.0,F
2868,SANDANC,50.0,50.0,N
2869,AFAF,60.0,40.0,F
2870,ALG,40.0,60.0,M
2871,MADWAN,0.0,100.0,M
2872,CATRAL,37.5,62.5,M
2873,LANDAT,100.0,0.0,F
2874,MAWAS,100.0,0.0,F
2875,NARADAN,0.0,100.0,M
2876,DASCAN,0.0,100.0,M
2877,ETALBAD,50.0,50.0,N
2878,DANANAG,64.29,35.709999999999994,F
2879,BRANLAN,100.0,0.0,F
2880,AGD,100.0,0.0,F
2881,XAY,100.0,0.0,F
2882,HARTAN,0.0,100.0,M
2883,AWAND,100.0,0.0,F
2884,HATARN,33.33,66.67,M
2885,SANANTAJ,100.0,0.0,F
2886,PALAG,50.0,50.0,N
2887,LANAJ,81.82,18.180000000000007,F
2888,NATHNAL,0.0,100.0,M
2889,LYALTY,66.67,33.33,F
2890,VYRAN,0.0,100.0,M
2891,SADAGRAC,100.0,0.0,F
2892,RANDRAC,0.0,100.0,M
2893,SADANT,0.0,100.0,M
2894,MANRAP,100.0,0.0,F
2895,MARNAG,100.0,0.0,F
2896,YARASN,100.0,0.0,F
2897,SALYN,87.5,12.5,F
2898,BANADAC,0.0,100.0,M
2899,DGAN,0.0,100.0,M
2900,VARNAG,100.0,0.0,F
2901,NACATR,100.0,0.0,F
2902,YDAN,100.0,0.0,F
2903,DARN,63.64,36.36,F
2904,IVALAS,100.0,0.0,F
2905,LASBATH,85.71,14.290000000000004,F
2906,ORATHY,100.0,0.0,F
2907,JADAD,42.86,57.14,M
2908,ANALAGRAC,100.0,0.0,F
2909,OFR,100.0,0.0,F
2910,YARASNAR,100.0,0.0,F
2911,MARCAS,63.64,36.36,F
2912,DANASTY,100.0,0.0,F
2913,IVAC,0.0,100.0,M
2914,ADSAN,100.0,0.0,F
2915,ARABALARAS,100.0,0.0,F
2916,YSANAR,100.0,0.0,F
2917,RABY,65.38,34.620000000000005,F
2918,BAS,62.5,37.5,F
2919,WARN,25.0,75.0,M
2920,CASCY,0.0,100.0,M
2921,TARAL,32.39,67.61,M
2922,HADAF,0.0,100.0,M
2923,DYAL,60.0,40.0,F
2924,FLAVAL,0.0,100.0,M
2925,SARCARL,0.0,100.0,M
2926,BLANCHY,100.0,0.0,F
2927,SARDAN,100.0,0.0,F
2928,EASTLAN,100.0,0.0,F
2929,MADAX,31.25,68.75,M
2930,UNAG,85.71,14.290000000000004,F
2931,ERNAGAN,100.0,0.0,F
2932,ABDALASAN,0.0,100.0,M
2933,FALACAT,100.0,0.0,F
2934,CLAST,100.0,0.0,F
2935,SAYAR,100.0,0.0,F
2936,RANS,37.5,62.5,M
2937,BARBARAN,100.0,0.0,F
2938,DANGAL,44.44,55.56,M
2939,CAPARTAN,0.0,100.0,M
2940,WACANAN,0.0,100.0,M
2941,MANRAD,0.0,100.0,M
2942,IRADAL,0.0,100.0,M
2943,DYSY,100.0,0.0,F
2944,JAGANT,33.33,66.67,M
2945,ALATSAL,100.0,0.0,F
2946,ZALAN,54.9,45.1,F
2947,LANFAD,0.0,100.0,M
2948,MASAC,58.82,41.18,F
2949,STAFANRY,0.0,100.0,M
2950,JARAN,28.74,71.26,M
2951,V,38.89,61.11,M
2952,HASAS,0.0,100.0,M
2953,SRYANC,0.0,100.0,M
2954,ZANALD,100.0,0.0,F
2955,BRANDAC,100.0,0.0,F
2956,VADAD,0.0,100.0,M
2957,TAGAD,0.0,100.0,M
2958,SACHN,100.0,0.0,F
2959,JANJAC,0.0,100.0,M
2960,EARTAL,100.0,0.0,F
2961,THRASTAN,0.0,100.0,M
2962,JASANTALAR,0.0,100.0,M
2963,YANALAD,100.0,0.0,F
2964,AGASTAN,38.46,61.54,M
2965,BARACH,0.0,100.0,M
2966,YARAS,100.0,0.0,F
2967,ZARAS,0.0,100.0,M
2968,SASNAN,100.0,0.0,F
2969,ALSAD,100.0,0.0,F
2970,DAFAGH,0.0,100.0,M
2971,JAXAL,0.0,100.0,M
2972,GARARDAJR,0.0,100.0,M
2973,SARANAR,100.0,0.0,F
2974,NASTAC,100.0,0.0,F
2975,HARJ,50.0,50.0,N
2976,CARVAC,0.0,100.0,M
2977,NAJL,100.0,0.0,F
2978,MCARTY,50.0,50.0,N
2979,CASADY,91.89,8.11,F
2980,VANANH,100.0,0.0,F
2981,TAJASWAN,100.0,0.0,F
2982,AHNAL,100.0,0.0,F
2983,DYDAN,0.0,100.0,M
2984,VANRADY,0.0,100.0,M
2985,ELNAR,66.67,33.33,F
2986,NATANAL,13.33,86.67,M
2987,NABAC,50.0,50.0,N
2988,NASAS,100.0,0.0,F
2989,USAF,0.0,100.0,M
2990,CAXAN,100.0,0.0,F
2991,OACL,100.0,0.0,F
2992,YAN,56.76,43.24,F
2993,MYTAL,100.0,0.0,F
2994,DARAV,0.0,100.0,M
2995,ARADH,66.67,33.33,F
2996,JASADARD,0.0,100.0,M
2997,SANADH,0.0,100.0,M
2998,ELAX,100.0,0.0,F
2999,INARAN,0.0,100.0,M
3000,JAVAGHN,0.0,100.0,M
3001,JARSY,72.73,27.27,F
3002,WALAT,80.0,20.0,F
3003,YANALASC,100.0,0.0,F
3004,ANTYS,100.0,0.0,F
3005,EARVY,0.0,100.0,M
3006,ADRAC,15.38,84.62,M
3007,LAVY,86.36,13.64,F
3008,CATRANANARY,100.0,0.0,F
3009,BRATAD,100.0,0.0,F
3010,MATSLY,100.0,0.0,F
3011,CYNARAN,0.0,100.0,M
3012,LAXNY,100.0,0.0,F
3013,ARLAL,100.0,0.0,F
3014,VARABAL,100.0,0.0,F
3015,MANTSARAT,100.0,0.0,F
3016,SGAP,100.0,0.0,F
3017,ITSANAN,100.0,0.0,F
3018,NYS,100.0,0.0,F
3019,STARLAT,100.0,0.0,F
3020,DASRY,100.0,0.0,F
3021,ALAXY,76.92,23.08,F
3022,CATLALAC,100.0,0.0,F
3023,ACARY,0.0,100.0,M
3024,IGY,0.0,100.0,M
3025,RARAC,0.0,100.0,M
3026,ERNAD,0.0,100.0,M
3027,TADR,75.0,25.0,F
3028,ATAF,25.0,75.0,M
3029,ARAST,75.0,25.0,F
3030,SALASAR,0.0,100.0,M
3031,SARACH,33.33,66.67,M
3032,ETANACAL,0.0,100.0,M
3033,JALAL,38.46,61.54,M
3034,ESF,100.0,0.0,F
3035,TANAJ,88.24,11.760000000000005,F
3036,BRATY,100.0,0.0,F
3037,TAS,87.04,12.959999999999996,F
3038,CABRAN,46.15,53.85,M
3039,ARTAN,36.84,63.16,M
3040,BYANCY,100.0,0.0,F
3041,EALANWY,100.0,0.0,F
3042,SANDR,84.62,15.379999999999995,F
3043,FAFAN,100.0,0.0,F
3044,PASLYN,100.0,0.0,F
3045,ENARLAGH,100.0,0.0,F
3046,OLAVANDAR,0.0,100.0,M
3047,LANH,66.67,33.33,F
3048,CARTLAN,52.38,47.62,F
3049,CASALD,100.0,0.0,F
3050,PANALAN,100.0,0.0,F
3051,J,45.57,54.43,M
3052,ACANATAN,0.0,100.0,M
3053,ETALDR,100.0,0.0,F
3054,CANDARAC,0.0,100.0,M
3055,MASTAF,0.0,100.0,M
3056,SASAJ,100.0,0.0,F
3057,RHALY,60.0,40.0,F
3058,ATAW,0.0,100.0,M
3059,MCALY,66.67,33.33,F
3060,FRAS,100.0,0.0,F
3061,MASTAGAN,0.0,100.0,M
3062,PADRAG,0.0,100.0,M
3063,CRASBAL,100.0,0.0,F
3064,ZARATH,50.0,50.0,N
3065,ALANC,100.0,0.0,F
3066,EANAL,100.0,0.0,F
3067,AVANANR,100.0,0.0,F
3068,ISABALY,100.0,0.0,F
3069,ADRATH,0.0,100.0,M
3070,HAPAN,100.0,0.0,F
3071,OLAJAD,0.0,100.0,M
3072,YARAB,100.0,0.0,F
3073,RALJR,0.0,100.0,M
3074,ELDARAN,100.0,0.0,F
3075,MAGALAN,90.0,10.0,F
3076,JADASAN,0.0,100.0,M
3077,MCANSAN,0.0,100.0,M
3078,RAGL,100.0,0.0,F
3079,ENARACH,0.0,100.0,M
3080,NANAL,100.0,0.0,F
3081,STAFANSAN,0.0,100.0,M
3082,ARDAT,66.67,33.33,F
3083,TATAS,100.0,0.0,F
3084,JATSARY,100.0,0.0,F
3085,AHLYN,100.0,0.0,F
3086,MASRAN,0.0,100.0,M
3087,GWANAVAR,100.0,0.0,F
3088,RADCLAF,0.0,100.0,M
3089,PATAT,100.0,0.0,F
3090,TCAR,100.0,0.0,F
3091,CARNYN,100.0,0.0,F
3092,YAVAT,100.0,0.0,F
3093,SANANAT,100.0,0.0,F
3094,JANATAL,100.0,0.0,F
3095,QACY,0.0,100.0,M
3096,ONAX,50.0,50.0,N
3097,BRASTAR,0.0,100.0,M
3098,XSADRAN,0.0,100.0,M
3099,DAJANT,0.0,100.0,M
3100,JACANTH,66.67,33.33,F
3101,CANBARALY,100.0,0.0,F
3102,CASLAR,33.33,66.67,M
3103,OBDAL,50.0,50.0,N
3104,ALCAD,0.0,100.0,M
3105,BARCLAGH,100.0,0.0,F
3106,CAPLY,0.0,100.0,M
3107,NAYAN,100.0,0.0,F
3108,AXAVAR,0.0,100.0,M
3109,LADAV,100.0,0.0,F
3110,EVADAL,100.0,0.0,F
3111,CATSAL,100.0,0.0,F
3112,LAGAYS,100.0,0.0,F
3113,SAYB,0.0,100.0,M
3114,FAV,0.0,100.0,M
3115,FLARDANAR,100.0,0.0,F
3116,MCARTNY,66.67,33.33,F
3117,ALBARD,100.0,0.0,F
3118,RAGAY,66.67,33.33,F
3119,ZAXAN,50.0,50.0,N
3120,ANANTY,0.0,100.0,M
3121,CTAN,100.0,0.0,F
3122,WALNY,100.0,0.0,F
3123,CANRANBAC,0.0,100.0,M
3124,BRANAGAN,50.0,50.0,N
3125,FRYJ,100.0,0.0,F
3126,JYANTANY,0.0,100.0,M
3127,ABDALGADAR,0.0,100.0,M
3128,ARAYAN,100.0,0.0,F
3129,TACAR,84.62,15.379999999999995,F
3130,SARP,0.0,100.0,M
3131,VARDAN,52.94,47.06,F
3132,LABADY,100.0,0.0,F
3133,DAFAN,54.55,45.45,F
3134,MADARAC,0.0,100.0,M
3135,RATH,14.29,85.71000000000002,M
3136,DANALJAN,0.0,100.0,M
3137,CHRASATN,100.0,0.0,F
3138,BACAR,13.33,86.67,M
3139,JALANT,25.0,75.0,M
3140,CALANATY,100.0,0.0,F
3141,ASWATH,0.0,100.0,M
3142,QALAN,0.0,100.0,M
3143,RAB,58.82,41.18,F
3144,EADAR,100.0,0.0,F
3145,YSABAL,90.0,10.0,F
3146,FYDAL,100.0,0.0,F
3147,ODAC,0.0,100.0,M
3148,DAFALAN,100.0,0.0,F
3149,MARTY,25.0,75.0,M
3150,TARASC,100.0,0.0,F
3151,ANTAN,31.17,68.83,M
3152,SANDRAC,94.12,5.879999999999996,F
3153,PADRAN,0.0,100.0,M
3154,DASTANY,97.06,2.9399999999999977,F
3155,TAGAV,0.0,100.0,M
3156,CANTLAGH,100.0,0.0,F
3157,JANSAL,0.0,100.0,M
3158,TYTAN,50.0,50.0,N
3159,LARYC,33.33,66.67,M
3160,G,62.5,37.5,F
3161,CANTAS,100.0,0.0,F
3162,DAFVAN,25.0,75.0,M
3163,NANG,50.0,50.0,N
3164,DYGAR,0.0,100.0,M
3165,CRALY,0.0,100.0,M
3166,TSAGY,100.0,0.0,F
3167,INFANTGARL,100.0,0.0,F
3168,VACRANTH,0.0,100.0,M
3169,MCHLAN,0.0,100.0,M
3170,MASANAR,0.0,100.0,M
3171,JALADY,100.0,0.0,F
3172,ASRAF,0.0,100.0,M
3173,MARGAN,64.71,35.290000000000006,F
3174,BRAVARY,50.0,50.0,N
3175,GLANAT,100.0,0.0,F
3176,LAGRAD,0.0,100.0,M
3177,GABAR,0.0,100.0,M
3178,ZANTANY,0.0,100.0,M
3179,INDRAN,100.0,0.0,F
3180,SADANY,100.0,0.0,F
3181,JATNAL,0.0,100.0,M
3182,HARVANG,0.0,100.0,M
3183,PANAGAT,33.33,66.67,M
3184,QADRAFAN,0.0,100.0,M
3185,CARALN,100.0,0.0,F
3186,TSALAN,100.0,0.0,F
3187,MARADALCARNAN,100.0,0.0,F
3188,FACAS,100.0,0.0,F
3189,CHRASLAN,100.0,0.0,F
3190,CRASTAPFAR,0.0,100.0,M
3191,MACYAL,60.0,40.0,F
3192,JASACARL,0.0,100.0,M
3193,EARN,75.0,25.0,F
3194,CALSTAN,0.0,100.0,M
3195,SALSY,100.0,0.0,F
3196,ACSAN,50.0,50.0,N
3197,TANGVY,100.0,0.0,F
3198,CANDSY,100.0,0.0,F
3199,TARANC,31.03,68.97,M
3200,SAJD,100.0,0.0,F
3201,HALDR,100.0,0.0,F
3202,DARLAT,100.0,0.0,F
3203,DALRAT,100.0,0.0,F
3204,INFBY,0.0,100.0,M
3205,DALFY,100.0,0.0,F
3206,STAFALAD,0.0,100.0,M
3207,MCARTHY,0.0,100.0,M
3208,ASADAL,0.0,100.0,M
3209,ANDHY,0.0,100.0,M
3210,DRAND,100.0,0.0,F
3211,JALNARY,100.0,0.0,F
3212,GYATHR,100.0,0.0,F
3213,JAGAR,13.64,86.36,M
3214,DARANAL,0.0,100.0,M
3215,HAPSAN,0.0,100.0,M
3216,JASACALY,100.0,0.0,F
3217,BALANAR,100.0,0.0,F
3218,NAVY,90.0,10.0,F
3219,BASWAL,0.0,100.0,M
3220,TRASAND,100.0,0.0,F
3221,VARCY,100.0,0.0,F
3222,ORLY,50.0,50.0,N
3223,WARDAR,0.0,100.0,M
3224,JADATAN,100.0,0.0,F
3225,ARBADAL,100.0,0.0,F
3226,LATYAR,100.0,0.0,F
3227,AJS,100.0,0.0,F
3228,QATRAN,100.0,0.0,F
3229,CLYS,0.0,100.0,M
3230,MARASAF,100.0,0.0,F
3231,VARNAST,50.0,50.0,N
3232,CABRAL,33.33,66.67,M
3233,BRASLATH,100.0,0.0,F
3234,SYNDAL,100.0,0.0,F
3235,CARCAT,100.0,0.0,F
3236,RATNY,100.0,0.0,F
3237,LACARG,0.0,100.0,M
3238,FRANCALAN,100.0,0.0,F
3239,ALTARNAS,100.0,0.0,F
3240,MARCAFAN,0.0,100.0,M
3241,ARCAB,100.0,0.0,F
3242,MARASC,100.0,0.0,F
3243,EARNY,50.0,50.0,N
3244,CANDALAN,100.0,0.0,F
3245,ENALANARY,100.0,0.0,F
3246,DANAS,85.83,14.170000000000002,F
3247,SAS,78.18,21.819999999999997,F
3248,SASTALAN,100.0,0.0,F
3249,PASADAN,0.0,100.0,M
3250,DATAL,100.0,0.0,F
3251,NALAJ,83.33,16.67,F
3252,WYNAT,100.0,0.0,F
3253,ZAVAR,25.0,75.0,M
3254,BAFALY,50.0,50.0,N
3255,YARL,100.0,0.0,F
3256,RABD,0.0,100.0,M
3257,LACYD,100.0,0.0,F
3258,RASANT,100.0,0.0,F
3259,HYC,0.0,100.0,M
3260,FRANY,100.0,0.0,F
3261,FYRAN,100.0,0.0,F
3262,DARTAL,100.0,0.0,F
3263,ALN,54.55,45.45,F
3264,ORAT,100.0,0.0,F
3265,CAPCAG,0.0,100.0,M
3266,MANARV,100.0,0.0,F
3267,MANJAR,100.0,0.0,F
3268,BAJ,83.33,16.67,F
3269,CRANDAL,0.0,100.0,M
3270,MALAVAC,100.0,0.0,F
3271,GWAND,100.0,0.0,F
3272,MY,73.53,26.47,F
3273,DALWAN,0.0,100.0,M
3274,ARSLAN,0.0,100.0,M
3275,WARAC,0.0,100.0,M
3276,LADAVAD,0.0,100.0,M
3277,CHARAN,0.0,100.0,M
3278,OLAR,100.0,0.0,F
3279,TRAFVAR,0.0,100.0,M
3280,MAGALANTAN,0.0,100.0,M
3281,ESANC,100.0,0.0,F
3282,FARAJ,0.0,100.0,M
3283,DANAC,74.16,25.840000000000003,F
3284,DRAG,0.0,100.0,M
3285,JASANPRAT,0.0,100.0,M
3286,BALYR,100.0,0.0,F
3287,RASTASLAV,0.0,100.0,M
3288,QANATR,100.0,0.0,F
3289,ELACT,100.0,0.0,F
3290,SARANDAPATY,100.0,0.0,F
3291,ETHRAG,0.0,100.0,M
3292,JANARL,0.0,100.0,M
3293,YANARY,100.0,0.0,F
3294,CATNAN,0.0,100.0,M
3295,GANCARL,0.0,100.0,M
3296,ERNAS,100.0,0.0,F
3297,OPYAN,50.0,50.0,N
3298,HABAG,100.0,0.0,F
3299,CANBRAGH,100.0,0.0,F
3300,SANACG,100.0,0.0,F
3301,HARNAND,33.33,66.67,M
3302,RYALT,100.0,0.0,F
3303,VARBAL,100.0,0.0,F
3304,JADALAN,100.0,0.0,F
3305,BALARAS,100.0,0.0,F
3306,CLARASTAN,100.0,0.0,F
3307,ACHATH,0.0,100.0,M
3308,ISADR,50.0,50.0,N
3309,GLANAR,66.67,33.33,F
3310,LATARAC,100.0,0.0,F
3311,HARL,42.11,57.89,M
3312,TAC,65.88,34.120000000000005,F
3313,ALTANAS,100.0,0.0,F
3314,MANACHC,100.0,0.0,F
3315,SYNAN,100.0,0.0,F
3316,PARANAT,100.0,0.0,F
3317,HANYR,100.0,0.0,F
3318,ANVATH,0.0,100.0,M
3319,ANGANY,100.0,0.0,F
3320,CHR,42.86,57.14,M
3321,CATLALY,100.0,0.0,F
3322,CRACHTAN,0.0,100.0,M
3323,LABARTAD,100.0,0.0,F
3324,CASTL,33.33,66.67,M
3325,JAXY,100.0,0.0,F
3326,FATHNARY,100.0,0.0,F
3327,ANTAV,25.0,75.0,M
3328,MARAJY,100.0,0.0,F
3329,TARANY,87.5,12.5,F
3330,VALANY,100.0,0.0,F
3331,LARALAN,100.0,0.0,F
3332,GYRAN,0.0,100.0,M
3333,PARCS,100.0,0.0,F
3334,MADAT,100.0,0.0,F
3335,BARNAN,16.67,83.33,M
3336,CASPAN,0.0,100.0,M
3337,NAY,83.33,16.67,F
3338,CALSALAN,100.0,0.0,F
3339,MASYAC,0.0,100.0,M
3340,BRADRAC,0.0,100.0,M
3341,TATY,100.0,0.0,F
3342,ANBARLAGH,100.0,0.0,F
3343,FALACADAD,100.0,0.0,F
3344,DASNAN,30.0,70.0,M
3345,RATGAR,0.0,100.0,M
3346,OCSAN,100.0,0.0,F
3347,CALASAN,25.0,75.0,M
3348,ADACAN,100.0,0.0,F
3349,CACLAL,100.0,0.0,F
3350,JAYLAN,100.0,0.0,F
3351,LACASC,100.0,0.0,F
3352,SANCAL,100.0,0.0,F
3353,DRYVAN,0.0,100.0,M
3354,HYDAN,42.86,57.14,M
3355,TAGAY,100.0,0.0,F
3356,RANDALD,0.0,100.0,M
3357,RARC,0.0,100.0,M
3358,ADANAD,50.0,50.0,N
3359,OLAJAB,0.0,100.0,M
3360,HARCAR,0.0,100.0,M
3361,DANARAC,0.0,100.0,M
3362,CHRASTANG,100.0,0.0,F
3363,ALAXANDRAR,0.0,100.0,M
3364,MYNAN,100.0,0.0,F
3365,PARDAT,100.0,0.0,F
3366,WALBART,50.0,50.0,N
3367,PARSV,0.0,100.0,M
3368,CASTARFALD,0.0,100.0,M
3369,JANARAN,9.68,90.32,M
3370,SANPAL,0.0,100.0,M
3371,ANDALAN,100.0,0.0,F
3372,DNANT,0.0,100.0,M
3373,WALANRABAD,0.0,100.0,M
3374,IRAJ,100.0,0.0,F
3375,SARALN,100.0,0.0,F
3376,RADLY,44.44,55.56,M
3377,ABDALJALAL,0.0,100.0,M
3378,TAGHLAR,100.0,0.0,F
3379,HABS,100.0,0.0,F
3380,CANSAN,0.0,100.0,M
3381,PYN,50.0,50.0,N
3382,ANDARW,0.0,100.0,M
3383,CANRAD,33.33,66.67,M
3384,STYS,100.0,0.0,F
3385,NANCAJAN,100.0,0.0,F
3386,ARSALAN,0.0,100.0,M
3387,ARASAN,40.0,60.0,M
3388,CANANY,75.0,25.0,F
3389,TABR,100.0,0.0,F
3390,WADSAN,0.0,100.0,M
3391,MARAB,75.0,25.0,F
3392,CALAXTR,0.0,100.0,M
3393,SARASWAT,100.0,0.0,F
3394,JACHAL,100.0,0.0,F
3395,HSAR,50.0,50.0,N
3396,IRYD,100.0,0.0,F
3397,OLAFANC,100.0,0.0,F
3398,CLAT,56.67,43.33,F
3399,NSAR,100.0,0.0,F
3400,INALD,100.0,0.0,F
3401,MARANARGARAT,100.0,0.0,F
3402,JACALY,100.0,0.0,F
3403,CATL,0.0,100.0,M
3404,CANRAN,40.48,59.52,M
3405,RATHNARY,100.0,0.0,F
3406,DAXSAN,0.0,100.0,M
3407,RYDRAC,0.0,100.0,M
3408,QAYLAN,0.0,100.0,M
3409,DRAFAGHN,0.0,100.0,M
3410,ENALAT,100.0,0.0,F
3411,XATLALAT,100.0,0.0,F
3412,TRANADAD,50.0,50.0,N
3413,DASNAD,9.09,90.91,M
3414,ERLAD,0.0,100.0,M
3415,ABAY,0.0,100.0,M
3416,GARCAN,0.0,100.0,M
3417,NYANAC,100.0,0.0,F
3418,GANLAC,0.0,100.0,M
3419,SARLAC,0.0,100.0,M
3420,EXAL,0.0,100.0,M
3421,GARAS,66.67,33.33,F
3422,SANTACACW,50.0,50.0,N
3423,OLAFANALY,100.0,0.0,F
3424,SANSARY,100.0,0.0,F
3425,WADNASDY,100.0,0.0,F
3426,EVANGALAN,100.0,0.0,F
3427,ZANALDAN,0.0,100.0,M
3428,FRANTSY,0.0,100.0,M
3429,JYSLAN,100.0,0.0,F
3430,ATAT,0.0,100.0,M
3431,ESRAN,0.0,100.0,M
3432,GRASTAN,0.0,100.0,M
3433,XSANDAR,0.0,100.0,M
3434,ITSALT,100.0,0.0,F
3435,PRAST,0.0,100.0,M
3436,SANSCAR,0.0,100.0,M
3437,CRADANC,50.0,50.0,N
3438,PANFAL,0.0,100.0,M
3439,HRATAC,50.0,50.0,N
3440,ADAB,60.0,40.0,F
3441,YVALAS,100.0,0.0,F
3442,DSAN,0.0,100.0,M
3443,JANJAN,0.0,100.0,M
3444,VARSAT,100.0,0.0,F
3445,FAJAR,100.0,0.0,F
3446,FANDAR,0.0,100.0,M
3447,TANALAD,100.0,0.0,F
3448,CANCAPTAN,100.0,0.0,F
