,babynysiis,perc_female,perc_male,gender
177,HARALAB,0.0,100.0,M
178,CYSTAL,100.0,0.0,F
179,DACSAN,0.0,100.0,M
180,SANSAN,50.0,50.0,N
181,MACARAN,0.0,100.0,M
182,PANY,81.25,18.75,F
183,WANGAL,100.0,0.0,F
184,MALY,90.59,9.409999999999997,F
185,YACAV,0.0,100.0,M
186,WALALAN,0.0,100.0,M
187,JASANY,100.0,0.0,F
188,ETHN,100.0,0.0,F
189,FLAR,68.75,31.25,F
190,DWAND,100.0,0.0,F
191,DASAC,80.0,20.0,F
192,MARCATH,0.0,100.0,M
193,JYLAD,0.0,100.0,M
194,CHRASTAFARDAV,0.0,100.0,M
195,ANDANY,0.0,100.0,M
196,IBTAJ,100.0,0.0,F
197,BANSAN,16.67,83.33,M
198,ASACAN,100.0,0.0,F
199,UNAR,20.0,80.0,M
200,JVANT,0.0,100.0,M
201,TARASAN,100.0,0.0,F
202,ARGL,0.0,100.0,M
203,TALS,100.0,0.0,F
204,DAP,50.0,50.0,N
205,VAL,70.83,29.17,F
206,ALACYN,100.0,0.0,F
207,RANANAC,100.0,0.0,F
208,TATR,100.0,0.0,F
209,NASATH,66.67,33.33,F
210,CYSAR,0.0,100.0,M
211,BRACYD,100.0,0.0,F
212,ALACH,100.0,0.0,F
213,OARAN,100.0,0.0,F
214,VASWAS,0.0,100.0,M
215,WALAL,100.0,0.0,F
216,PATCH,0.0,100.0,M
217,BARB,100.0,0.0,F
218,SARAR,20.0,80.0,M
219,AFANATY,100.0,0.0,F
220,MAGNANAT,100.0,0.0,F
221,DASATN,0.0,100.0,M
222,ELANTR,100.0,0.0,F
223,CHRASTANJACAB,0.0,100.0,M
224,JYCAN,33.33,66.67,M
225,GALSAN,0.0,100.0,M
226,TADY,58.33,41.67,F
227,UNT,0.0,100.0,M
228,JAWAN,0.0,100.0,M
229,PRABHLAN,100.0,0.0,F
230,ANDARSAN,42.86,57.14,M
231,RAJAD,0.0,100.0,M
232,VAD,68.75,31.25,F
233,CATHY,80.0,20.0,F
234,WARD,100.0,0.0,F
235,STARGAS,100.0,0.0,F
236,NARCAL,100.0,0.0,F
237,QANAN,0.0,100.0,M
238,ZYAR,33.33,66.67,M
239,CANLY,75.0,25.0,F
240,ANGALDAJAS,0.0,100.0,M
241,ODAN,27.27,72.73,M
242,MALBALAN,100.0,0.0,F
243,TAJAL,100.0,0.0,F
244,MAYAN,66.67,33.33,F
245,SARJAN,0.0,100.0,M
246,PLACAD,33.33,66.67,M
247,DALYN,83.33,16.67,F
248,JANASRABAD,0.0,100.0,M
249,MALS,100.0,0.0,F
250,MACAX,0.0,100.0,M
251,GRYLAN,42.86,57.14,M
252,TRASTAC,100.0,0.0,F
253,RYJY,0.0,100.0,M
254,CAVLAN,100.0,0.0,F
255,SARDY,100.0,0.0,F
256,ANTWAN,16.67,83.33,M
257,BARGAND,100.0,0.0,F
258,CHRASAN,66.67,33.33,F
